var,importance
SHBint6,12900
MDEC-14,12500
ATSc5,10000
nHBint6,3700
maxsOH,3500
ATSc4,2900
ETA_EtaP_B,2600
VC-4,2400
minssssC,2100
SsOH,2100
minsOH,1900
BCUTc-1l,1800
SssssC,1800
SC-5,1500
maxHBd,1400
ATSp5,1400
SCH-6,1200
CrippenLogP,1100
VC-3,1100
ETA_Beta_ns,1100
ETA_Eta_B,1100
minsCH3,1100
BCUTp-1l,900
ETA_EtaP_B_RC,900
VCH-6,900
MLFER_A,900
MDEC-13,900
MDEC-12,900
MDEC-34,900
SC-4,800
minHBint6,800
MLFER_S,800
SPC-5,800
maxdsCH,700
minsssCH,700
MDEC-11,700
MDEO-12,700
SP-7,700
ETA_BetaP_s,700
FMF,700
ALogp2,700
LipoaffinityIndex,700
ATSp4,700
SP-5,600
maxHother,600
WTPT-4,600
XLogP,600
ETA_dEpsilon_B,600
ATSm4,600
maxwHBa,600
PetitjeanNumber,600
MDEC-33,600
Kier2,600
ETA_Beta,600
SC-6,600
ETA_Epsilon_4,500
SC-3,500
ETA_BetaP,500
ETA_Epsilon_3,500
SsssCH,500
ETA_Shape_P,500
ETA_Shape_X,500
SHBd,500
ATSc3,500
AMR,500
WTPT-2,500
ETA_Eta_B_RC,500
minHBd,500
BCUTp-1h,500
SsCH3,500
BCUTw-1h,500
MLFER_E,500
minHother,400
ETA_dEpsilon_D,400
maxHaaCH,400
SP-6,400
VPC-4,400
SHBint8,400
SPC-4,400
maxHCsatu,400
maxHsOH,400
SHother,400
ATSm5,400
ATSp1,400
SdCH2,400
SCH-5,400
SCH-7,400
sumI,400
MAXDP2,400
ECCEN,300
SdsCH,300
maxaaCH,300
minssCH2,300
maxHBint10,300
ALogP,300
maxHBint8,300
ETA_EtaP_F,300
minaaCH,300
nHBint4,300
minHCsats,300
MLFER_L,300
minHsOH,300
ETA_Eta_F_L,300
C2SP2,300
ETA_AlphaP,300
C3SP3,300
ATSp2,300
ATSm2,300
DELS2,300
VP-5,300
VP-3,300
ETA_Psi_1,300
SHBint3,200
MDEC-23,200
minwHBa,200
SwHBa,200
ATSm3,200
nssCH2,200
MDEC-24,200
ATSm1,200
ETA_BetaP_ns,200
ETA_EtaP,200
ATSc1,200
HybRatio,200
maxHBint6,200
SdO,200
SHsOH,200
maxsCH3,200
SaaO,200
WTPT-3,200
WPOL,200
mindO,200
VP-6,200
ETA_Alpha,200
MAXDN,200
ETA_dEpsilon_C,200
ETA_Epsilon_2,200
maxHssNH,200
SP-0,200
mindsCH,200
nHBint5,200
VPC-5,200
VC-5,200
minHBint10,200
minHBint2,200
hmax,200
minHBint7,200
gmin,200
MLFER_BO,200
ETA_dBetaP,100
naaO,100
ETA_EtaP_L,100
ETA_dBeta,100
minHBint5,100
SHssNH,100
SHCsats,100
SHCsatu,100
ETA_Eta_L,100
ETA_Shape_Y,100
ETA_Eta_R_L,100
hmin,100
SHBint9,100
ETA_Beta_s,100
ETA_Eta_F,100
ETA_Eta_R,100
minHBint3,100
ETA_Eta,100
ETA_BetaP_ns_d,100
SHBint5,100
minHBa,100
minHBint9,100
SHBa,100
MLFER_BH,100
ETA_EtaP_F_L,100
VP-0,100
SP-3,100
SP-2,100
SP-1,100
VPC-6,100
VC-6,100
nHBAcc,100
SaasC,100
maxaasC,100
C1SP3,100
C1SP2,100
SdsN,100
minaasN,100
nBondsS3,100
nBonds2,100
minaaO,100
BCUTc-1h,100
SaasN,100
ATSp3,100
ATSc2,100
nRotB,100
maxssO,100
WTPT-1,100
maxdO,100
SP-4,100
VCH-7,100
nHdsCH,100
nHBint7,100
nsCH3,100
nsssCH,100
minHCsatu,100
nAtomLC,100
nHsOH,100
SaaCH,100
MDEO-11,100
Kier3,100
maxHBa,100
nwHBa,100
VP-4,100
minHdsCH,100
VP-7,100
maxHBint7,100
CrippenMR,100
mindssC,100
maxssCH2,0
maxtN,0
maxdCH2,0
maxssBe,0
maxsssNHp,0
maxHmisc,0
maxdsN,0
maxsLi,0
maxsssN,0
maxaaN,0
maxsssB,0
maxaaNH,0
maxaaaC,0
maxsssCH,0
maxssssBm,0
maxsBH2,0
maxddC,0
