var,importance
ETA_Beta,64.24905
ATSc1,14.052796
ATSc5,10.260089
minaaO,2.4172966
C1SP2,1.1514705
nHBAcc,0.68849635
n6Ring,0.5133041
SdsN,0.43207476
nHCsatu,0.36942017
MLFER_A,0.2884397
ATSc3,0.25282568
ndssC,0.25102735
nHBint2,0.22288027
ndS,0.1963334
SHCsatu,0.19064352
nC,0.18254076
C3SP2,0.17306721
ALogP,0.14104708
MLogP,0.13748957
maxHBint4,0.11364265
mindssC,0.10212712
ETA_EtaP_L,0.09871691
MDEO-22,0.08712462
maxHBint5,0.0764945
minHdsCH,0.075742096
maxaaCH,0.07026514
ETA_Eta_B_RC,0.069767185
maxHssNH,0.06847131
SssO,0.062201347
AMR,0.061870907
MDEN-22,0.05873089
SsOH,0.05473901
VP-5,0.05353071
C3SP3,0.053244468
HybRatio,0.052928604
maxdssC,0.049588516
ATSc2,0.048406016
SP-5,0.047152236
SdO,0.046407808
ETA_BetaP_ns,0.04343985
XLogP,0.043195665
SC-6,0.04107813
CrippenLogP,0.04099616
SHBint10,0.040745
VPC-5,0.040397566
LipoaffinityIndex,0.03838826
maxHsOH,0.03786691
MLFER_S,0.0369578
SsBr,0.036925793
SHBint6,0.036231674
ETA_dEpsilon_A,0.03539536
mindsN,0.035051588
SPC-6,0.034844432
ETA_Epsilon_3,0.03324518
gmin,0.03246462
SssNH,0.032355275
MLFER_BH,0.032323685
MAXDN,0.03230536
nHBAcc_Lipinski,0.03221355
Kier2,0.03136693
nF10Ring,0.029341443
SHBint9,0.028702943
ETA_EtaP_F_L,0.028401852
DELS2,0.02781499
SssssC,0.027026594
ETA_Epsilon_4,0.026620185
nAtomP,0.0238972
ETA_Beta_ns,0.022797735
MDEO-12,0.022752333
minHsOH,0.02239232
VPC-6,0.021889264
maxHdsCH,0.021685144
VC-3,0.020140318
ETA_Epsilon_5,0.020115834
MDEC-33,0.02003953
n8Ring,0.019698521
WTPT-4,0.019462705
maxHBint7,0.019331822
WTPT-5,0.018053897
minaasC,0.017830485
BCUTc-1l,0.017642511
TopoPSA,0.017587584
SP-7,0.017143078
minHssNH,0.017106337
maxaaN,0.017066903
SCH-5,0.01704709
minwHBd,0.016853992
minHBint3,0.01602945
C2SP3,0.015484747
ETA_BetaP,0.015441843
minHBint7,0.015408817
bpol,0.015405839
ETA_dEpsilon_D,0.015401167
DELS,0.015353028
BCUTp-1h,0.015319713
SHBint7,0.015005087
ETA_BetaP_s,0.014679789
nHCsats,0.014514527
minsNH2,0.013862672
minssO,0.013701147
VCH-5,0.013507898
ATSp4,0.013155656
nAtomLAC,0.013052205
VC-5,0.0130419005
nAromBond,0.012675122
SsOm,0.012227072
VCH-7,0.012222129
VP-1,0.0120596895
SHsOH,0.011540588
SwHBa,0.011492182
SP-4,0.01142334
MAXDN2,0.011317015
MDEC-22,0.011046795
ETA_dEpsilon_B,0.010681407
SaaO,0.010488398
BCUTw-1l,0.010264237
maxsCH3,0.010212502
SHBint8,0.010151892
nBondsS,0.009887234
SdS,0.009802857
minsBr,0.009791401
minHBint2,0.009752033
mindO,0.009728274
BCUTc-1h,0.0095960265
minwHBa,0.009550575
maxHother,0.009413822
nH,0.009377585
minaaCH,0.00937076
minHBa,0.009362855
maxsOH,0.0092069935
VP-6,0.00889587
SsNH2,0.00882505
SC-5,0.008614612
nHBDon,0.0084260125
minHother,0.008305409
SaaS,0.00812166
ETA_Shape_Y,0.008094296
MDEO-11,0.008057304
ETA_Eta,0.00783294
minsOH,0.007595801
nHBint6,0.0075850063
MDEC-13,0.0075206924
MDEC-11,0.007385128
SPC-5,0.007260521
minaaS,0.0072277565
SHBa,0.006913541
maxHCsatu,0.006814915
ETA_dBetaP,0.006794187
maxHBint6,0.0066182986
ETA_Eta_B,0.0065686805
minssCH2,0.006566246
VP-2,0.00646959
VPC-4,0.0064276056
SaaCH,0.0063831597
nTRing,0.0063141165
MDEN-23,0.0062671816
nBase,0.00613985
minHCsatu,0.006031733
minHBint8,0.0059929607
SdssC,0.0059536113
nHBint4,0.0059479247
SsssCH,0.0058994717
maxssO,0.005880799
ETA_EtaP,0.0057777846
ETA_Epsilon_2,0.0057464084
maxHCsats,0.0057237213
minHAvin,0.0057089976
ATSc4,0.0056384234
nAtomLC,0.0056352024
maxdsN,0.0055434974
maxaasC,0.0055172243
minHBd,0.0053628925
ATSm1,0.0053358343
apol,0.0051235575
SCH-6,0.00498472
nHBint10,0.0049449876
MLFER_E,0.0048946314
ATSp5,0.004888391
maxdO,0.004751067
naaO,0.0047228723
BCUTp-1l,0.0046798545
maxssCH2,0.0046561547
nHBint3,0.0043852595
nF,0.0043274807
SHaaCH,0.004240609
MAXDP,0.0042339964
MDEN-33,0.0042282417
SHBint5,0.004190521
minHaaCH,0.004184873
maxHBint9,0.0041102357
naasC,0.0040962165
